date,n_kap_day,n_material,kap_score,kap_polarity,has_earnings,has_dividend,has_buyback,has_rating,has_oda
2018-01-02,8,6,0.0,neutral,0,0,0,0,1
2018-01-03,4,2,0.0,neutral,0,0,0,0,1
2018-01-04,13,13,1.0,bullish,0,0,0,0,1
2018-01-05,12,12,3.0,bullish,0,0,0,0,1
2018-01-08,20,19,0.0,neutral,0,0,0,0,1
2018-01-09,22,20,-3.0,bearish,0,0,0,0,1
2018-01-10,16,15,-2.0,bearish,0,0,0,0,1
2018-01-11,21,21,1.0,bullish,0,0,0,1,1
2018-01-12,22,20,4.0,bullish,0,0,0,0,1
2018-01-13,1,1,0.0,neutral,0,0,0,0,1
2018-01-15,9,5,0.0,neutral,0,0,0,0,1
2018-01-16,8,7,2.0,bullish,0,0,0,0,1
2018-01-17,11,11,1.0,bullish,0,0,0,0,0
2018-01-18,11,11,0.0,neutral,0,0,0,0,1
2018-01-19,16,15,7.0,bullish,0,0,0,0,1
2018-01-22,13,13,-1.0,bearish,0,0,0,0,1
2018-01-23,14,14,-3.8,bearish,0,0,0,0,1
2018-01-24,8,8,-2.0,bearish,0,0,0,0,1
2018-01-25,5,5,0.0,neutral,0,0,0,1,1
2018-01-26,17,16,-4.0,bearish,0,0,0,0,1
2018-01-28,1,1,-2.0,bearish,0,0,0,0,1
2018-01-29,11,10,-0.8,neutral,0,0,0,0,1
2018-01-30,21,18,4.0,bullish,1,0,0,0,1
2018-01-31,27,22,9.5,bullish,1,1,0,0,1
2018-02-01,18,16,1.0,bullish,1,0,0,0,1
2018-02-02,28,23,3.0,bullish,1,0,0,0,1
2018-02-05,13,13,2.2,bullish,0,0,0,0,1
2018-02-06,18,14,6.5,bullish,1,1,0,0,1
2018-02-07,14,14,1.0,bullish,0,0,0,0,1
2018-02-08,10,9,3.5,bullish,1,1,0,0,1
2018-02-09,19,18,2.0,bullish,0,0,0,0,1
2018-02-11,3,2,0.0,neutral,0,0,0,0,1
2018-02-12,11,9,1.0,bullish,1,0,0,0,1
2018-02-13,19,18,3.5,bullish,0,1,0,0,1
2018-02-14,10,9,-1.0,bearish,1,0,0,0,0
2018-02-15,26,22,9.5,bullish,1,1,0,0,1
2018-02-16,26,24,6.0,bullish,1,1,0,0,1
2018-02-19,31,29,5.5,bullish,0,1,0,0,0
2018-02-20,35,30,6.0,bullish,1,1,0,0,1
2018-02-21,22,19,9.5,bullish,1,1,0,0,1
2018-02-22,14,13,2.0,bullish,0,0,0,0,1
2018-02-23,15,11,0.0,neutral,0,0,0,0,1
2018-02-26,40,33,14.5,bullish,1,1,0,0,1
2018-02-27,21,18,8.0,bullish,1,1,0,0,1
2018-02-28,33,31,10.5,bullish,0,1,0,0,1
2018-03-01,25,18,2.5,bullish,1,1,0,0,1
2018-03-02,33,29,6.0,bullish,1,1,0,0,1
2018-03-05,21,20,8.5,bullish,1,1,0,0,1
2018-03-06,23,18,1.0,bullish,1,0,0,0,1
2018-03-07,25,23,0.0,neutral,1,0,0,0,1
2018-03-08,7,6,1.0,bullish,0,0,0,0,0
2018-03-09,26,22,7.5,bullish,1,1,0,1,1
2018-03-10,1,1,0.0,neutral,0,0,0,1,0
2018-03-12,41,38,1.0,bullish,0,0,0,1,1
2018-03-13,8,8,0.0,neutral,0,0,0,0,1
2018-03-14,21,18,2.5,bullish,0,1,0,0,0
2018-03-15,22,22,3.5,bullish,0,1,0,0,1
2018-03-16,26,24,-1.0,bearish,0,0,0,0,1
2018-03-19,21,18,8.0,bullish,0,1,0,0,1
2018-03-20,24,21,7.5,bullish,0,1,0,0,1
2018-03-21,28,28,15.0,bullish,0,1,0,0,1
2018-03-22,43,41,9.0,bullish,0,1,0,1,1
2018-03-23,28,24,-1.8,bearish,0,0,0,0,1
2018-03-26,12,10,12.5,bullish,0,1,0,0,1
2018-03-27,27,26,1.0,bullish,0,0,0,0,1
2018-03-28,44,41,13.5,bullish,0,1,0,0,1
2018-03-29,25,24,12.2,bullish,0,1,0,0,1
2018-03-30,54,48,21.5,bullish,0,1,0,0,1
2018-03-31,1,1,0.0,neutral,0,0,0,0,0
2018-04-02,33,30,18.8,bullish,0,1,0,0,1
2018-04-03,17,14,5.0,bullish,0,0,0,0,1
2018-04-04,22,21,4.5,bullish,0,1,0,0,1
2018-04-05,28,26,-1.0,bearish,0,0,0,1,1
2018-04-06,19,16,2.0,bullish,0,0,0,0,1
2018-04-09,27,25,0.0,neutral,0,0,0,0,1
2018-04-10,15,14,1.0,bullish,0,0,0,0,1
2018-04-11,14,12,5.5,bullish,0,1,0,0,1
2018-04-12,15,12,4.6,bullish,0,0,0,0,1
2018-04-13,11,9,3.0,bullish,0,0,0,0,1
